PROJECTION,TNG_ID,REDSHIFT,SERSIC_IDX,HALFLIGHT_RAD,AXIS_RATIO,LOS_SIGMA,SPS_MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,MASS_ALL_HMR,HMRAD_STAR,SPS_LUM,MLR,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HALFLIGHT_BRIGHTNESS,SERSIC_MASS_STAR,MASS_DM_HMR,MASS_SMBH,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,SPS_LUM_ONE_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD
0,488668,0.07,2.592860116,0.454112986,0.5782740312,2.126026208,10.74472953,0.50084467,12.00782105,12.04395375,10.76553037,0.7703474006,10.20139657,3.494080908,0.06895761937,-1.655823543,3.138261272,1.884258911,2.176535421,4.177063333,6.950128238,7.274395705,7.468682692,6.218252616,10.79116745,2.023814,0.01101908,10.20804119,10.46119053,9.946805325,10.11253856,10.49013828,10.65587152,9.695950696,9.94551901
1,488668,0.07,2.09844364,0.5907635605,0.867286263,2.01582079,10.74472953,0.50084467,12.00782105,12.04395375,10.76553037,0.7703474006,10.20139657,3.494080908,0.06895761937,-1.655823543,3.138261272,1.884258911,2.176535421,4.177063333,6.950128238,7.274395705,7.468682692,5.938704898,10.74175769,2.023814,0.01101908,10.33613935,10.5526675,9.897396763,10.07668215,10.44072972,10.62001511,9.695950696,9.94551901
2,488668,0.07,2.206104175,0.5900094722,0.6849147998,2.03866134,10.74472953,0.50084467,12.00782105,12.04395375,10.76553037,0.7703474006,10.20139657,3.494080908,0.06895761937,-1.655823543,3.138261272,1.884258911,2.176535421,4.177063333,6.950128238,7.274395705,7.468682692,5.952159742,10.76385733,2.023814,0.01101908,10.33570998,10.55215146,9.919496018,10.09552813,10.46282898,10.63886108,9.695950696,9.94551901
2,480446,0.02,4.272543407,0.5628487084,0.667010382,2.091087033,10.70997073,0.5837262036,12.16393102,12.1911637,10.72296609,0.6434186396,10.23744657,2.968411866,0.3903159201,-0.6298935949,3.106324186,1.959196624,2.263638943,4.59280876,7.134526252,7.48749224,7.67318652,5.940039688,10.76344954,1.673451,0.0149200335,10.40913071,10.54241356,9.989895492,10.12609824,10.46241965,10.5986224,9.787782675,9.945238225
0,326322,0.01,4.211844182,1.08705592,0.8169949298,2.161875,11.21908082,1.828903355,12.91569009,12.96207218,11.4813201,1.216703747,10.62734951,3.905991657,1.623680711,0.2740941565,2.82715119,1.627890879,1.800437738,4.775974102,6.035832092,6.670877458,6.78618962,5.360581592,11.34860852,11.820832,0.03485297,11.03925281,11.18595427,10.45584733,10.59284302,11.04757864,11.18457433,10.4446763,10.58774017
1,326322,0.01,2.215628198,0.9718529364,0.5644996426,2.249626742,11.21908082,1.828903355,12.91569009,12.96207218,11.4813201,1.216703747,10.62734951,3.905991657,1.623680711,0.2740941565,2.82715119,1.627890879,1.800437738,4.775974102,6.035832092,6.670877458,6.78618962,5.64687414,11.27153286,11.820832,0.03485297,10.97819737,11.13176784,10.37877316,10.55452649,10.97050447,11.1462578,10.4446763,10.58774017
2,326322,0.01,3.453163427,1.018403476,0.6478349355,2.225251964,11.21908082,1.828903355,12.91569009,12.96207218,11.4813201,1.216703747,10.62734951,3.905991657,1.623680711,0.2740941565,2.82715119,1.627890879,1.800437738,4.775974102,6.035832092,6.670877458,6.78618962,5.52700475,11.33618714,11.820832,0.03485297,11.00352727,11.15348919,10.44342608,10.59176037,11.03515739,11.18349168,10.4446763,10.58774017
0,283471,0.01,2.327354198,1.050209003,0.6884021859,2.318669583,11.44389117,2.123184986,13.18641009,13.23298394,11.70040728,1.242111925,10.79742903,4.43059591,0.2897319496,0.7615177299,3.001843017,1.620619553,1.815295753,4.795824965,6.175019313,6.831433361,6.942207069,5.667865685,11.51398771,19.896877,0.10925639,11.20890945,11.37211346,10.56649688,10.73908202,11.21295903,11.38554416,10.55786904,10.73284503
1,283471,0.01,2.870478164,1.055985442,0.7912326493,2.288901173,11.44389117,2.123184986,13.18641009,13.23298394,11.70040728,1.242111925,10.79742903,4.43059591,0.2897319496,0.7615177299,3.001843017,1.620619553,1.815295753,4.795824965,6.175019313,6.831433361,6.942207069,5.644176943,11.54491486,19.896877,0.10925639,11.21239433,11.37518014,10.59742327,10.75684597,11.24388541,11.40330811,10.55786904,10.73284503
2,283471,0.01,2.617088092,1.021201646,0.7731762225,2.33360758,11.44389117,2.123184986,13.18641009,13.23298394,11.70040728,1.242111925,10.79742903,4.43059591,0.2897319496,0.7615177299,3.001843017,1.620619553,1.815295753,4.795824965,6.175019313,6.831433361,6.942207069,5.720224339,11.53235627,19.896877,0.10925639,11.19201272,11.3562997,10.58486493,10.75001532,11.23132707,11.39647746,10.55786904,10.73284503
